Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.2309570e+01,6.08000e+00,4.40000e+00,
2.2316895e+01,6.08000e+00,4.16000e+00,
2.2324219e+01,6.08000e+00,4.56000e+00,
2.2331543e+01,6.08000e+00,4.32000e+00,
2.2338867e+01,6.08000e+00,4.24000e+00,
2.2346191e+01,6.08000e+00,4.56000e+00,
2.2353516e+01,6.08000e+00,4.16000e+00,
2.2360840e+01,6.08000e+00,4.40000e+00,
2.2368164e+01,6.08000e+00,4.40000e+00,
2.2375488e+01,6.08000e+00,4.08000e+00,
2.2382813e+01,6.08000e+00,4.48000e+00,
2.2390137e+01,6.08000e+00,4.32000e+00,
2.2397461e+01,6.08000e+00,4.16000e+00,
2.2404785e+01,6.08000e+00,4.48000e+00,
2.2412109e+01,6.08000e+00,4.16000e+00,
2.2419434e+01,6.08000e+00,4.24000e+00,
2.2426758e+01,6.16000e+00,4.48000e+00,
2.2434082e+01,6.08000e+00,4.08000e+00,
2.2441406e+01,6.16000e+00,4.32000e+00,
2.2448730e+01,6.16000e+00,4.40000e+00,
2.2456055e+01,6.16000e+00,4.08000e+00,
2.2463379e+01,6.08000e+00,4.40000e+00,
2.2470703e+01,6.08000e+00,4.24000e+00,
2.2478027e+01,6.16000e+00,4.16000e+00,
2.2485352e+01,6.16000e+00,4.48000e+00,
2.2492676e+01,6.16000e+00,4.16000e+00,
2.2500000e+01,6.08000e+00,4.24000e+00,
2.2507324e+01,6.16000e+00,4.40000e+00,
2.2514648e+01,6.08000e+00,4.00000e+00,
2.2521973e+01,6.16000e+00,4.40000e+00,
2.2529297e+01,6.08000e+00,4.40000e+00,
2.2536621e+01,6.16000e+00,4.08000e+00,
2.2543945e+01,6.16000e+00,4.48000e+00,
2.2551270e+01,6.16000e+00,4.24000e+00,
2.2558594e+01,6.16000e+00,4.16000e+00,
2.2565918e+01,6.16000e+00,4.48000e+00,
2.2573242e+01,6.16000e+00,4.08000e+00,
2.2580566e+01,6.16000e+00,4.32000e+00,
2.2587891e+01,6.16000e+00,4.40000e+00,
2.2595215e+01,6.16000e+00,4.08000e+00,
2.2602539e+01,6.16000e+00,4.48000e+00,
2.2609863e+01,6.16000e+00,4.24000e+00,
2.2617188e+01,6.16000e+00,4.08000e+00,
2.2624512e+01,6.16000e+00,4.48000e+00,
2.2631836e+01,6.16000e+00,4.16000e+00,
2.2639160e+01,6.16000e+00,4.16000e+00,
2.2646484e+01,6.16000e+00,4.40000e+00,
2.2653809e+01,6.24000e+00,4.08000e+00,
2.2661133e+01,6.16000e+00,4.32000e+00,
2.2668457e+01,6.24000e+00,4.32000e+00,
2.2675781e+01,6.16000e+00,4.00000e+00,
2.2683105e+01,6.16000e+00,4.40000e+00,
2.2690430e+01,6.16000e+00,4.24000e+00,
